item,translate
eastern,东方的朝东的
edit,编辑编纂校订
effect,影响，效果作用
elect,选举推选
electricity,电电流
electronic,电子的
embarrass,使窘迫使为难
emergency,紧急情况突然事件
employ,雇用
endless,无止境的
engine,发动机引擎
enjoyable,使人快乐的，有乐趣的
entertainment,娱乐款待娱乐表演
entire,全部的彻底的
entrance,入口进入
envelope,信封封皮
envy,妒忌羡慕
equal,相等的平等的
equipment,装备设备配备
error,错误误差，过失
escape,逃脱，逃避逃跑，逃亡
especially,特别尤其格外
essay,散文文章，随笔
evaluate,评价估价
event,事件大事
evidence,根据依据
exact,确切的精确的
exactly,恰好是，准确地
exchange,交换交流，交易，兑换
exciting,令人兴奋的
exhibition,展览陈列展览会
exist,存在生存
exit,出口退场退出
expand,扩大使膨胀发展
expense,花费消费费用
expert,专家熟练的
explanation,解释说明辩解
explode,使爆炸爆炸
exploit,剥削开发，开采
explore,探险探索
export,输出出口
expression,措辞词句，表达表情
extra,额外的另外
extraordinary,非同寻常的非凡的，特别的
extremely,极其，极端地
fade,褪色逐渐消失
failure,失败失败的人事
fairly,相当公平地
faith,信任信心信仰
false,不真实的伪造的
familiar,熟悉的
farther,更远地更远的
fasten,扎牢使固定
fault,错误，缺点毛病故障
favor,好感赞同恩惠
fax,传真
feather,羽毛翎毛羽状物
federal,联邦的联盟的
fee,费用，酬金，小费付费给
fellow,家伙伙伴
female,女性的雌性的
fence,栅栏围以栅栏
fiction,小说虚构谎言
fierce,凶猛的猛烈的
figure,数字人物，体形，画像，图形计算，认为
file,文件，档案，文件夹把…归档
finance,财政金融
fireworks,爆竹烟花
firm,坚定的公司商号
fist,拳头
flame,火焰光辉热情
flash,闪光闪闪烁
flesh,肉肌肉肉体
flight,航班飞行逃跑
float,漂浮使漂浮
flood,洪水
flour,面粉粉状物质
flow,流动流动，流量
fluent,流利的流畅的
focus,聚焦注视焦点
foggy,有雾的，朦胧的
fold,折叠合拢褶
folk,民间的百姓
fond,喜爱的，宠爱的
fool,傻子欺骗愚弄
foolish,愚蠢的
forbid,禁止
forecast,预测预报预示
forever,永远不断地，常常
forgive,原谅宽恕
former,前者的前者
fortnight,两星期十四天
fortunate,幸运的
fortunately,幸运地
fortune,命运运气财富
found,创立创办
fountain,泉水喷泉，源泉
freedom,自由
frequent,频繁的
frequently,频繁地
frighten,使惊恐吓唬
fry,油煎油炸油炒
fuel,燃料给…加燃料
function,功能职务函数运行，行使职责
fur,皮，毛皮
further,进一步地
gain,获得增加，赚到增加，利润，收获
garbage,垃圾废物
gas,煤气气体
gather,聚集集合收集
gay,快乐的艳丽的同性恋者
generally,一般地通常地，普遍地
generation,一代一代人产生
generous,慷慨的宽宏大量的
gentle,温和的，文雅的
glance,瞥见一瞥
globe,地球地球仪，球体
goal,球门得分数目标
goods,货物商品
gradual,逐渐的渐进的
gradually,逐渐地，逐步地
graduate,大学毕业生毕业
graduation,毕业
grain,谷物颗粒
grand,宏伟的豪华的，极重要的
grasp,抓住，领会
gravity,重力地心引力严重性，庄严
greatly,很，大大地，非常地
greet,问候欢迎
grey,灰色的
grocer,杂货店，食品商
grocery,食品杂货店，食品杂货
guide,导游指导
guilty,内疚的有罪的
haircut,理发；发型，发式
hammer,锤子锤击
handkerchief,手帕
handle,柄把手处理
happiness,幸福；满足
harbour,港
hard-working,勤劳
hardship,艰难困苦
harm,伤害损害损害
harmony,协调和谐
harvest,收获收成收割
headmaster,英国中小学校长
hesitate,犹豫踌躇
highway,公路大路
hire,雇用，租用，出租
honey,蜜蜂蜜甜甜蜜
hopeless,没有希望的绝望的
horrible,可怕的极可厌的
host,主人主持人主持，做主人
housewife,家庭主妇
humour,幽默，诙谐迁就
hunger,饥饿渴望
hunt,打猎搜寻
identity,身份一致确定身份
ignore,不理睬忽视
illegal,非法的
immediate,立即的直接的
immigrate,移民
import,输入进口
importance,重要性
impress,给…深刻印象
income,收入收益
indeed,真正地确实
independent,独立的自主的
indicate,暗示表明
infer,推论推断
inform,通知告知
innocent,清白的无辜的，天真的
insect,昆虫
insert,插入嵌入
inspire,鼓舞给…以灵感
instant,瞬间立即的
institute,研究所学院
instrument,工具乐器
insurance,保险保险费
intelligence,智力理解力情报工作，情报机关
intend,想要打算意指
interpret,说明口译，解释
interpreter,解释者，口译者，注释器
interrupt,打断中止
jam,果酱，拥挤，困境
jar,罐子坛子广口瓶
jazz,爵士音乐爵士舞曲
journalist,记者新闻工作者
journey,旅行旅程
judge,法官裁判员审判，判断
jungle,丛林密林
junior,年少的下级的年少者，晚辈，地位较低者
justice,正义公正司法
kindergarten,幼儿园
lack,缺乏不足短缺的东西
ladder,梯子
lately,最近
later,后来
latter,两者中后者的
lawyer,律师
league,同盟联盟
leak,漏;泄露漏洞
lecture,演讲;讲课演讲;讲课
legal,合法的
length,长度
less,更少的更少地
liberate,解放释放
librarian,图书馆馆员
lifetime,终身
lightning,闪电
likely,可能的很可能
limit,限制限定限度限制
link,连接，联系联系
lip,嘴唇
liquid,液体液体的流动的
literature,文学作品
litre,公升
living-room,起居室
load,装装满负载;负担
loaf,一条面包
local,当地的，局部的当地居民，局部
loose,宽松的；自由的
lorry,卡车
loss,遗失;失败，损失
luggage,行李皮箱
lung,肺
mailbox,邮箱
major,主修，专攻主要的多数的，主要的主修科目
majority,多数
male,男的雄的男人，雄性动物
mankind,人类
manner,方式态度；礼貌
march,三月
mass,大量，群众，块，团
material,材料原料；素材物质的
mathematics,数学
matter,事情；物质要紧，有关系
maximum,最大量最大的
means,方法手段
meanwhile,与此同时
measure,测量测量，尺寸，措施，程度
medal,奖章纪念章
media,媒体
mental,智力的；精神的
menu,菜单
merchant,商人
mercy,仁慈
merely,仅仅只不过
merry,欢乐的愉快的
midday,中午
midnight,午夜
mild,温和的，文雅的
million,百万
mine,我的矿，矿山；地雷，水雷开采
mineral,矿物矿物的
minimum,最小量最小的
minister,部长大臣
minority,少数派;少数民族
miserable,痛苦的悲惨的
misunderstand,误解误会
mix,使混合;混淆
mobile,运动的移动的
modest,谦虚的
moral,合乎道德的道德品行
motor,发动机机动车
mountainous,多山的
mourn,哀痛哀悼
movement,动作；活动；移动
multiply,增加，繁殖，乘
musical,音乐的
nail,钉子；指甲钉
nation,民族国家
nationality,国籍，民族
native,本土的本地人
navy,海军
neat,整洁的；简洁的
needle,针缝补编织
nephew,侄子外甥
nest,巢窝
net,净的，纯的网网状物
niece,侄女外甥女
noble,高尚的贵族
noisy,嘈杂的喧闹的
noun,名词
novel,小说新奇的，新颖的
nowadays,现今现在现今，当今
nowhere,任何地方都不
nuclear,原子核的;核心的
nut,坚果
nutrition,营养
obey,顺从服从
observe,观察遵守
obtain,获得
obvious,显而易见的
occupation,占领占据;职业，工作
occupy,占领占有；使忙碌
occur,发生，突然想起
official,官方的，正式的官员，行政人员
onto,到…上
opera,歌剧，歌剧团，歌剧院
operate,操作;施行手术
opinion,意见看法
oppose,反对反抗
opposite,对面的，相反的，对立的对立面，反义词
optimistic,乐观的
oral,口头的
orbit,运行轨道环绕
ordinary,普通的平凡的
organize,组织，安排；筹办
original,最初的;新颖的创新
otherwise,另外要不然
ought,应该
outdoor,户外的，野外的
outdoors,在户外户外
outer,外部的外面的
outline,轮廓；大纲
outstanding,突出的杰出的
overcome,战胜克服
owe,欠，归功于
ox,公牛
oxygen,氧，氧气
pack,捆扎，打包；挤满包裹，背包
packet,小包，口袋
pain,痛苦，疼痛，努力
painful,痛苦的
painting,油画;绘画
pan,平底锅
panic,恐慌惊慌
paragraph,文章的段节
parcel,包裹邮包
parrot,鹦鹉
participate,参与参加
particular,特殊的特定的
partly,部分地
partner,伙伴搭挡，合伙人;配偶
passer-by,过路人
passive,被动的消极的
pattern,式样模型，图案
pause,中止中止暂停
peaceful,和平的；平静的
pence,的复数
per,每，每一
perform,执行，表演，表现
performance,履行;表演；表现
permit,允许执照，许可证
persuade,说服
petrol,汽油
phenomenon,现象
phrase,短语习惯用语
pile,堆堆积
pill,药丸
pillow,枕头
pin,别针，钉子钉住
pipe,用管道输送管子导管;烟斗
platform,站台讲台，平台
player,表演者运动员，比赛者，游戏者
playmate,玩伴游伴
pleased,高兴的
plough,犁犁耕
poet,诗人
poison,毒药毒害；投毒
pole,杆柱
policy,政策方针
political,政治上的
politics,政治
pollution,污染
port,港口
positive,积极的，肯定的，阳性的
possession,拥有，财产
possibly,可能地也许
postcode,邮递区号
pot,锅，壶，罐
potential,潜在的潜能
pour,倾泻，倒，灌，注，倾吐倾泻，流出，骤雨
powder,粉，粉末，火药
power,能力，电力;权力
powerful,强有力的
practical,实际的，实用性的
pray,请求;祈祷
precious,珍贵的宝贵的
predict,预言预测
prefer,更喜欢，宁愿
press,压按压；压榨印刷;新闻，报刊；出版社
pretend,假装，装作假装
principle,原则原理
process,过程处理
production,生产，产品，成果，作品
profession,职业，专业
professor,教授
profit,利润得益
project,计划；工程；项目设计，规划
promote,促进提升；推销
province,省
publish,公布发表；出版，刊印
pump,泵用泵抽，打气
punishment,惩罚
purchase,购买购买；赃物
pure,纯洁的
puzzle,难题；谜使迷惑
quality,质量，品质，特性
quantity,数量，大量
quarrel,争吵争吵吵架
queue,队列排队，将…梳成辫子
quit,离开停止；辞职
range,变动，变化范围，幅度，
rank,等级，军衔，队列排列，把…分等
rate,比率;速度;价格评价，估价
ray,光线;射线
react,反应
reading,阅读；读物
reality,现实；真实
reception,接待，接收，接待处
recognize,认出识别，承认，认可
recommend,推荐，建议
recover,恢复，痊愈
recycle,重复利用
reduce,减少减小
refer,提到，涉及，参考，查阅
reflect,反射反映;思考
reform,改革改良改革革新
register,登记注册登记注册
regular,规则的整齐的;定期的，常规的
reject,拒绝;丢掉;驳回
relate,联系
relative,有关系的；相对的亲戚，亲属
relevant,有关的;中肯的
reliable,可靠的
religion,宗教，宗教信仰
rely,依赖依靠；信赖
remark,评论评论;谈话
remind,提醒
remote,遥远的，偏僻的
remove,移动，调动，迁移
rent,租金租出租，租用，租借
repair,修理修补修理
repeat,重说重做重复
reply,回答答复答复
represent,描绘;代表象征
republic,共和国，共和政体
reputation,名誉声望
request,请求要求请求要求
rescue,援救营救
reserve,储备保留;预订
resist,抵抗抗拒
respect,尊敬尊重尊敬
respond,回答；响应
responsible,有责任的;尽责的
retire,退休
revise,校订修改
revolution,革命;旋转
reward,报答；报酬奖赏，奖励
ripe,成熟的;时机成熟的
risk,风险危险冒险
rob,抢劫劫掠抢劫劫掠
rocket,火箭
roll,滚动转动一卷；名册
roof,屋顶
root,根（部）；根源生根，扎根
rough,表面不平的;粗略的；大致的
rude,粗野的残暴的
ruin,毁灭;废墟毁坏
sacrifice,牺牲献祭牺牲，祭品，供奉
sailor,海员水手
salary,薪水
satellite,卫星
satisfaction,满意
scan,浏览；扫描
scare,惊吓受惊
scene,情景；景色
schedule,安排时间表计划表
scholarship,奖学金
scientific,科学的
scold,责骂
scream,尖叫尖叫声
seaside,海边
section,切片;部门；章节
secure,安全的
seed,种子籽
seek,寻找探索
seize,抓住;夺取，占据
select,选择挑选
self,自我自己
selfish,自私的利己的
senior,年长者；资格老的
sensitive,敏感的灵敏的
settle,安排安放；解决定居
sew,缝制
sex,性别性
shade,树荫，阴影，阴凉处，遮光物荫蔽
shadow,阴影影子
shallow,浅的浅薄的浅滩
sharp,锋利的，急剧的，敏锐的；刺耳的
shave,剃刮修面刮脸
sheet,被单;纸张，薄片
shelter,掩蔽处遮蔽，掩护
shock,冲击；震惊；电击震动
shoot,射击，射中，拍摄，发芽射击，摄影
shopping,购物
shore,滨岸
shortcoming,短处缺点
shot,射击，发射；投篮
sigh,叹气叹息叹息
sign,符号；征兆签名
signal,信号发信号
significance,意义重要性
simply,简单地;朴素地；仅仅，只不过
sincere,真诚的真挚的
sincerely,真诚地
sink,下沉消沉，渗透水槽水池
skin,剥皮皮皮肤;兽皮
skyscraper,摩天大楼
slave,奴隶苦工
slight,细长的;轻微的，少量的，不重要的
slightly,轻微地
slim,苗条的，修长的
smooth,光滑的，平稳的，顺利的
sneaker,鬼鬼祟祟做事的人卑鄙者运动鞋
soccer,英式足球
socialism,社会主义
socialist,社会主义的
software,软件
soil,土壤;土地
solar,太阳的日光的
soul,灵魂精神;人
specific,特定的，明确的，具体的
spit,吐唾沫
splendid,壮丽的显著的
split,劈开
spoken,口头讲的口语的
speak的过去分词,的过去分词
sponsor,发起者发起
spot,认出，发现点斑点;地点
spy,间谍特务侦察，监视
stable,稳定的，安定的马厩马棚
stadium,露天大型运动场
staff,全体工作人员
stage,舞台;阶段，时期
stair,楼梯
stare,凝视
starve,饿死使饿死
steady,稳固的使稳定
steam,蒸汽蒸发蒸煮
steel,钢
straight,直的;正直的直接地
strength,力量力气
stress,强调，重要性，压力，重音强调，使紧张，用重音读
strike,打击;罢工罢工;打击;殴打
struggle,奋斗，努力，挣扎奋斗，努力，挣扎
studio,工作室播音室
style,风格式样
suck,吸吮
suddenly,突然
suffer,遭受忍受
suit,套装，诉讼适合，使适应
suitable,适宜的；恰当的
sum,总数;金额共计
summary,简短的，扼要的摘要总结
sunset,日落
sunshine,阳光
support,支持;供养
surround,包围，环绕
survive,幸免于活下来
swallow,吞，咽吞，咽燕子
switch,开关;转换转换
symbol,象征；符号
sympathy,同情，同情心
system,系统；制度
tailor,裁缝裁制衣服
talent,天才才能
tank,坦克;大容器
tap,轻打轻敲塞子龙头;轻叩轻拍
target,靶;目标
tax,税款征税
tear,泪滴眼泪撕开撕裂
technical,技术的工艺的
technique,技巧技能
teenager,青少年
telegram,电报
telegraph,电报机发电报
telescope,望远镜
television,电视电视机
temple,神殿庙宇;太阳穴
temporary,暂时的临时的
tend,走向趋向
tendency,趋向趋势
tense,紧张的;拉紧的时态
theme,题目;词干;主旋律
theory,理论学说
therefore,因此所以
thief,窃贼偷窃犯思考;想法，见解
throat,咽喉
throughout,遍及到处
thus,如此这样;因而
tick,滴答声;记号发出滴答声
tight,紧的;紧身的紧紧地
timetable,时间表;时刻表
tin,锡;罐头
tip,轻击给小费小费
tire,疲劳;厌倦轮胎
title,标题题目;称号，头衔
tobacco,烟草烟叶
tolerate,忍受容忍
topic,题目;论题话题
tough,坚韧的;健壮的
track,行踪路径;轨道
tractor,拖拉机
tradition,传统惯例
transport,运输运输
trap,陷阱;诡计诱骗
trend,伸向;倾向倾向
trial,试验;审判
trick,诡计;窍门哄骗
type,类型打字
typewriter,打字机
typical,典型的代表性的
typist,打字员
tyre,轮胎
underline,在…下划线;强调
understanding,理解，理解力
unfair,不公平的
uniform,一样的制服
unique,唯一的
unite,联合使联合
united,一致的;联合的
universe,宇宙世界
unknown,未知的，不知名的
unusual,不平常的独特的
update,更新使现代化现代化更新
upset,使不适使心烦混乱
upward,向上的上升的向上，往上
urban,都市的
urgent,紧急的
usually,通常
valley,山谷流域
valuable,值钱的有价值的贵重物品
variety,多样化种类
various,各种各样的
vast,巨大的，广阔的
vehicle,车辆
verb,动词
victim,牺牲者受害者
view,看待;看见解;风景
violent,猛烈的狂暴的
virus,病毒
visa,签证;信用卡
volunteer,志愿者志愿
vote,选举投票
voyage,航海航海航空
wage,工资报酬
waiter,侍者服务员
waitress,女侍者，女服务员
wave,波波涛;起伏波动;挥手
weakness,弱点
web,蜘蛛网网状物;网络
website,环球网的站点
wedding,婚礼
weed,杂草野草除草
well-known,众所周知的
whisper,低声地讲低语耳语私语
whistle,口哨吹口哨
wild,野生的;野蛮的荒地
willing,心甘情愿的
wind,风
wipe,揩擦揩擦
wire,金属线电缆
within,在…里面;不超过
witness,证据;证人目击
wooden,木制的;呆板的
wool,羊毛毛线
worse,更坏的更坏
worst,最坏的最坏地
worthwhile,值得的
youth,青春;青年
